,Vendor,Model Number,Notes,Location,TR Owned / Vendor Loan,Loan Date,Due Back,Returned,Loan Contact,Customer,Shipped,Tracking,Notes
Loans,,,,,,,,,,,,,
,Etherwan,EX78934X-0VB,Hardened Managed POE Switch,Josh's,Vendor Loan,,10/24/2024,,,,,,
,,EasyCell,,Josh's,Vendor Loan,,10/24/2024,,,,,,
,Phoenix Contact,FL WAN2011,,Josh's,Vendor Loan,,10/24/2024,,,,,,
,Phoenix Contact,FL MGUARD 4305,,Josh's,Vendor Loan,,,,,,,,
,Etherwan,EXT1100,,Josh's,Vendor Loan,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Switches,,,,,,,,,,,,,
,Allen Bradley,Stratix 5400,1783-HMS4EG8CGN,Josh's,Customer Loan,??,??,,Brian Kelley,Vanderlande,,,
,Antaira,LMP-1002G-SFP,,Josh's,Vendor Loan,7/5/2021,60 days,,,,,,
,Antaira,LMP-1002G-SFP,,Josh's,Vendor Loan,7/5/2021,60 days,,,,,,
,Antaira,LMX-0804G-SFP-T,,Josh's,Vendor Loan,7/5/2021,60 days,,,,,,
,Antaira,SFP-M x 6,,Josh's,Vendor Loan,7/5/2021,60 days,,,,,,
,Allen Bradley,Stratix 5800,,Mike's,Vendor Loan,6/17/2024,,,"Doug Dellow, Brandon Singh",,,,
,Allen Bradley,Stratix 5200,,Mike's,Vendor Loan,6/17/2024,,,,,,,
,Allen Bradley,Stratix 5700,1783-BMS10CL,Mike's,TR Owned,,,,,,,,
,Allen Bradley,Stratix 5700,1783-BMS20CL,Josh's,TR Owned,,,,,,,,
,Antaira,LMX-0800,,Josh's,TR Owned,,,,,,,,
,Antaira,LMX-0800,,Josh's,TR Owned,,,,,,,,
,Antaira,LMP-0800G-24,,Josh's,TR Owned,,,,,,,,
,ATOP,EHG7608,L3,Mike's,Vendor Loan,4/17/2023,8/17/2023,yes,,,,,
,ATOP,EHG7608,L3,Mike's,Vendor Loan,4/17/2023,8/17/2023,yes,,,,,
,ATOP,EHG7508-8POE,L2 PoE,Mike's,Vendor Loan,4/17/2023,8/17/2023,yes,,,,,
,Cisco,IE-3200-8T2S-E,,Josh's,TR Owned,,,,,,,,
,Cisco,IE-3300-8T2S-E,FVH2924L1UN,Josh's,TR Owned,,,,,,,,
,Cisco,IE-3300-8T2S-E,FVH2924L1ZX,Josh's,TR Owned,,,,,,,,
,Cisco,IE-2000-8TC-G-B,FDO2607J0J6,Mike's,TR Owned,,,,,,,,
,Cisco,IE-2000-8TC-G-E with enhancedlanbase,FD02611J8SS,Josh's,TR Owned,,,,,,,,
,Dymec,,,Josh's,,,,,,,,,
,Dynics,ICS Flyaway Kit,"Includes OT SDN Controller, 1 SDN switch, ICS Def Pico3 and IPC",Mike's,TR Owned,,,,,,,,
,Fortinet,FSR-108F,SR08FNTY24000191,Josh's,TR Owned,,,,,,,,
,Fortinet,FSR-112F-POE,SR12FPTY25000041,Josh's,TR Owned,,,,,,,,
,Fortinet,FSR-216F-POE,SR16FPTD25000099,Josh's,TR Owned,,,,,,,,
,Fortinet,FS-124F-FPOE,FortiSwitch 124F-FPOE,Josh's,TR Owned,,,,,,,,
,Fortinet,FSR-112D-POE,FortiSwitch Rugged 112D POE,Josh's,TR Owned,,,,,,,,
,Fortinet,FS-124E,FortiSwitch 124E,Mike's,TR Owned,,,,,,,,
,Fortinet,FS-124E,FortiSwitch 124E,Josh's,TR Owned,,,,,,,,
,FS,IES-3110-8TF,HWCG2201206264N00037,Josh's,TR Owned,,,,,,,,
,FS,IES-3110-8TF,HWCG2201206264N00018,Josh's,TR Owned,,,,,,,,
,FS,IES-3110-8TF,HWCG2201206264N00017,Josh's,TR Owned,,,,,,,,
,Hirschmann,BRS20-8TX,942170002113802056,Josh's,TR Owned,,,,,,,,
,Hirschmann,BRS20-8TX,942170002113802057,Riley's,Loaned Out,4/1/2025,,,Riley Engle,,,,
,Hirschmann,BRS30-8TX/4SFP,,Dennis's,Loaned Out,8/21/2025,,,,,,,
,Hirschmann,Mach1040,,Josh's,Vendor Loan,??,??,,Scott Kornblue,Hirschmann,yes,,
,Hirschmann,Mach1040,,Mike's,Vendor Loan,??,??,,Scott Kornblue,Hirschmann,yes,,
,Hirschmann,Greyhound,,Josh's,,,,,,,,,
,Hirschmann,LEMUR LRS30-7TX/3SFP/1C,,Josh's,TR Owned,,,,,,,,
,Hirschmann,MS30,"MM4-2TX/SFP, MM2-4TX1, MM2-4TX1",Storage,TR Owned,,,,,,,,
,Hirschmann,RSP25-11003Z6TT-SCCY9HDE3S08.6.01 (DLR),942 053-999,Mike's,TR Owned,,,,,,,,
,Hirschmann,RSP25-11003Z6TT-SCCY9HDE3S08.6.01 (DLR),942 053-999,Mike's,TR Owned,,,,,,,,
,Hirschmann,RSP35 (PRP),,Mike's,TR Owned,,,,,,,,
,Netgear,ProSafe G5108T,,Mike's,TR Owned,,,,,,,,
,Hirschmann,RSP35,,Mike's,Vendor Loan,??,1/7/2021,,Aaron Hammer,,1/4/2021,1Z420V944328700997,
,Korenix,JetNet 7612G-4F,DIN Rail-L3- (8) 10/100/1000Base-T Ports + (4) 100/1000Base-X SFP,Josh's,TR Owned,,,,,,,,
,Korenix,JetNet 7310G,"DIN Rail (10) 10/100/1000Base-T POE, 204W",Josh's,TR Owned,,,,,,,,
,Korenix,5310G,"DIN Rail (8) 10/100/1000Base-T POE+ 802.at, + (2) Gig Combo Ports ",Josh's,TR Owned,,,,,,,,
,Lantronix,SISGM1040-284-LRT,DIN Rail (8) 10/100/1000Base-T Ports + (4) 100/1000Base-X SFP Slots,Mike's,TR Owned,,,,,,,,
,Lantronix,SISGM1040-284-LRT,DIN Rail (8) 10/100/1000Base-T Ports + (4) 100/1000Base-X SFP Slots,Josh's,TR Owned,,,,,,,,
,Lantronix,SISGM1040-284-LRT,DIN Rail (8) 10/100/1000Base-T Ports + (4) 100/1000Base-X SFP Slots  / SN:A088123AR2400014,Storage,TR Owned,,,,,,,,
,Lantronix,SISPM1040-582-LRT,,Storage,TR Owned,,,,,,,,
,Lantronix,SISPM1040-3248,,Storage,TR Owned,,,,,,,,
,Lantronix,SISPM1040-3248-L3,Rack Mount (16) 10/100/1000Base-T PoE+ Ports + (4) 100/1000Base-X SFP Slots + (2) 1G/10GBase-X SFP+ Slots,Mike's,TR Owned,,,,,,,,
,Lantronix,SISPM1040-3166-L,Rack Mount (16) 10/100/1000Base-T PoE+ Ports + (4) 100/1000Base-X SFP Slots + (2) 1G/10GBase-X SFP+ Slots,Josh's,TR Owned,,,,,,,,
,Moxa,EDS-4012-4GC-LV V1.0.0,TBBAD1044176,Josh's,TR Owned,,,,,,,,
,Moxa,EDS-4012-4GC-LV V1.0.1,TBBAD1044328,Josh's,TR Owned,,,,,,,,
,Moxa,EDS-4012-4GC-LV V1.0.2,TBBAD1044277,Josh's,TR Owned,,,,,,,,
,Moxa,EDS-4012-8P-4GS-LVB,TBBED1115938,Mike's,TR Owned,,,,,,,,
,Phoenix Contact,FL Switch 2205,2036252283,Mike's,TR Owned,,,,,,,,
,Phoenix Contact,FL Switch 2208,2702327,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL Switch 2208,2702327,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL Switch 2208,2702327,Josh's,TR Owned,,,,,,,,
,Siemens,Scalance XB213-3,,Mike's,Returned,6/22/2021,,,Ryan Speed,Siemens,11/18/2021,1Z420V944301387421,Mike - Shipped 
,Siemens,Scalance XB205-3,,Mike's,Returned,6/22/2021,,,Ryan Speed,Siemens,11/18/2021,1Z420V944301387421,Mike - Shipped 
,Siemens,Scalance XM408-4C,,Mike's,Returned,6/8/2021,,,Ryan Speed,Siemens,11/18/2021,1Z420V944301387421,Mike - Shipped 
,Siemens,C-Plug,,Josh's,Returned,10/18/2021,,,Ryan Speed,Siemens,11/18/2021,1Z420V944301387421,Mike - Shipped 
,Red Lion / Ntron,NT-5006,YU03MAR1966805,Josh's,TR Owned,,,,,,,,
,Red Lion / Ntron,NT24K-8TX,819294021352,Josh's,TR Owned,,,,,,,,
,Salz,4008GT,8x10/100/1000 TX SN:8259,Mike's,TR Owned,,,,,,,,
,Siemens,Scalance XB208,,Josh's,TR Owned,,,,,,,,
,Siemens,Scalance XC216-4C G,,Riley's,Loaned Out,4/1/2025,,,Riley Engle,,,,
,Siemens,Scalance XC332,,Josh's,TR Owned,,,,,,,,
,Siemens,Scalance XC208G PoE,"Died, Mike Killed it. Sent back to Siemens.",Mike's,TR Owned,,,,,,,,
,Siemens,Scalance XM416-4C,,Josh's,TR Owned,,,,,,,,
,WAGO,852-111,,Vy's,TR Owned,,,,,,,,
,Teltonika,TSW212,,Josh's,TR Owned,,,,,,,,
,Teltonika,TSW212,,Josh's,TR Owned,,,,,,,,
,Teltonika,TSW212,,Josh's,TR Owned,,,,,,,,
,WAGO,852-1305,0030DE4412DE,Josh's,TR Owned,,,,,,,,
,WAGO,852-1305,0030DE44105A,Josh's,TR Owned,,,,,,,,
,WAGO,852-1322,,Vy's,TR Owned,,,,,,,,
,WAGO,852-1322,,Vy's,TR Owned,,,,,,,,
,Hirschmann,BRS50,BOBCAT Rail Switch,INS,Vendor Loan,7/6/2021,7/6/2021,,Ravi Chhabra,INS,,,
,Hirschmann,RSP35,Rail Switch,INS,Vendor Loan,7/6/2021,7/6/2021,,Ravi Chhabra,INS,,,
,Wago,LMS: 852-1812,MAC: 0030DE4421A7,Josh's,TR Owned,,,,,,,,
,Wago,LMS: 852-1812,MAC: 0030DE4421A9,Josh's,TR Owned,,,,,,,,
,Wago,LMS: 852-1812,MAC: 0030DE4421E3,Josh's,TR Owned,,,,,,,,
,Westermo,RedFox RFI-211-F4G-T7G,,Josh's,TR Owned,,,,,,,,
,Westermo,TX100 Copper SFP x 4,,Josh's,TR Owned,,,,,,,,
,Westermo,L210-F2G-12 VDC,SN:132179,Mike's,TR Owned,,,,,,,,
,Westermo,L210-F2G-12 VDC,SN:131490,Josh's,TR Owned,,,,,,,,
,Westermo,L210-F2G-12 VDC,SN:131492,Josh's,TR Owned,,,,,,,,
,Westermo,Lynx-3510-E-F2G-P8G-LV,SN: 001760,Josh's,TR Owned,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
WIFI,,,,,,,,,,,,,
,Fortinet,FAP-431F-A,FortiAP 431F,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL WLAN 2101,2035365649,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL WLAN 2101,,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL WLAN 2101,,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL WLAN 4321,,Redwood Materials,TR Owned,4/1/2021,,,Alicia Lomas,Redwood Materials,,,
,Ubiquiti,Bullet AC,w/ Omni Antenna,Josh's,TR Owned,,,,,,,,
,Ubiquiti,LiteBeam AC Gen2,,Josh's,TR Owned,,,,,,,,
,Ubiquiti,LiteBeam AC Gen2,,Josh's,TR Owned,,,,,,,,
,Ubiquiti,NanoStation AC Loco,,Josh's,TR Owned,,,,,,,,
,Ubiquiti,PoE Adapter,"24V, 0.5A POE Addapter",Josh's,TR Owned,,,,,,,,
,Ubiquiti,PoE Adapter,,Josh's,TR Owned,,,,,,,,
,WAGO,758-919,A04DB19C,Josh's,TR Owned,,,,,,,,
,WAGO,758-919,A04DB174,Josh's,TR Owned,,,,,,,,
,Antaira,AMS-2111,100103318090882,Josh's,TR Owned,,,,,,,,
,Fortinet,FortiAP 23JF,SN:FP23JFTF21002712,Mike's,Returned,1/20/2022,??,,Michael Mayerich,NOV,,,
,Fortinet,FortiAP 224E Outdoor,SN:FP224E5J20000270,Mike's,Returned,1/20/2022,??,,Michael Mayerich,NOV,,,
,Fortinet,FortiAP 224E Outdoor,SN:FP224E5J20001046,Mike's,Returned,1/20/2022,??,,Michael Mayerich,NOV,,,
,Antaira,ARS-7235-AC,100003318270627,Josh's,TR Owned,,,,,,,,
,TP Link,Omada AC1200,Indoor/Outdoor Access Point,Josh's,TR Owned,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Routers / Firewall / Sec / Remote Access,,,,,,,,,,,,,
,Allen Bradley,1783-NATR,,Josh's,TR Owned,media room on din rack,,,,,,,
,Bayshore,SCADAfuse,,Josh's,Vendor Loan,??,??,,,,,,
,Check Point,1570R,,,Vendor Loan,10/16/2021,30 days,,Chris Masopust,,,,
,Belden,IAF-240 - Essential,,Josh's,TR Owned,,,,,,,,
,Cisco,ISA-3000-4C-K9,Serial: FCH2524L0W7,Josh's,TR Owned,1/24/2022,,,,,,,
,Dynics,ICS Defender Mini,,Josh's,Vendor Loan,7/13/2021,60 days,,Jeff Smith,,,,
,Dynics,ICS Defender Nano,,Tony Turner,Loaned Out,7/9/2025,,,,,,,
,Dynics,ICS Defender Pico,,Josh's,TR Owned,,,,,,,,
,Fortinet,FortiGate FGR-60F,,Josh's,TR Owned,,,,Dennis Distler,,,,
,Fortinet,FortiGate FGR-70F,,Josh's,TR Owned,,,,,,,,
,Fortinet,FortiGate FG-60F,,Mike's,TR Owned,,,,,,,,
